Ref1,Mod1.1,Mod2.1,Mod3.1,Ref2,Mod1.2,Mod2.2,Mod3.2
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,4.448416633,NaN,NaN,NaN,NaN
NaN,NaN,NaN,2.220189391,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,1.02695626,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
NaN,NaN,NaN,2.176726717,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
